name,name_short,name_tv,gender,function,country_code,country,,nationality,height,,disciplines,events,birth_date,birth_place,birth_country,residence_place,,state,
KUSHARE Sarvesh Anil,KUSHARE SA,Sarvesh Anil KUSHARE,Male,Athlete,IND,India,,India,172,,['Athletics'],"[""Men's High Jump""]",17-06-1995,DEVARGAON,India,,,MAHARASHTRA,
KURIAN Mijo Chacko,KURIAN MC,Mijo Chacko KURIAN,Male,Alternate Athlete,IND,India,,India,175,,['Athletics'],"[""Men's 4 x 400m Relay""]",16-07-1995,,,,,,
VARIYATHODI Muhammed Ajmal,VARIYATHODI MA,Muhammed Ajmal VARIYATHODI,Male,Athlete,IND,India,,India,176,,['Athletics'],"[""Men's 4 x 400m Relay""]",01-06-1998,PALAKKAD,India,,,KERELA,
YAHIYA Muhammed Anas,YAHIYA MA,Muhammed Anas YAHIYA,Male,Athlete,IND,India,,India,176,,['Athletics'],"[""Men's 4 x 400m Relay""]",17-09-1994,THIRUVANANTHAPURAM,India,,,KERELA,
RAMESH Rajesh,RAMESH R,Rajesh RAMESH,Male,Athlete,IND,India,,India,174,,['Athletics'],"[""Men's 4 x 400m Relay""]",28-03-1999,,,,,,
TAMILARASAN Santhosh Kumar,TAMILARASAN SK,Santhosh Kumar TAMILARASAN,Male,Athlete,IND,India,,India,176,,['Athletics'],"[""Men's 4 x 400m Relay""]",01-01-1998,,,,,,
SABLE Avinash Mukund,SABLE AM,Avinash Mukund SABLE,Male,Athlete,IND,India,,India,165,,['Athletics'],"[""Men's 3000m Steeplechase""]",13-09-1994,MANDWA,India,MANDWA,,RAJASTHAN,
NARANGOLINTEVIDA Abdulla,NARANGOLINTEVIDA A,Abdulla NARANGOLINTEVIDA,Male,Athlete,IND,India,,India,176,,['Athletics'],"[""Men's Triple Jump""]",17-01-1996,NADAPURAM,India,KERALA,,KERELA,
SINGH Vikash,SINGH V,Vikash SINGH,Male,Athlete,IND,India,,India,178,,['Athletics'],"[""Men's 20km Race Walk""]",06-07-1996,,India,DELHI,,DELHI,
BISHT Paramjeet Singh,BISHT PS,Paramjeet Singh BISHT,Male,Athlete,IND,India,,India,175,,['Athletics'],"[""Men's 20km Race Walk""]",03-03-2002,CHAMOLI,India,,,UTTARAKHAND,
